index,rating
index_0,1
index_1,1
index_2,5
index_3,1
index_4,4
index_5,4
index_6,4
index_7,5
index_8,3
index_9,4
index_10,3
index_11,4
index_12,1
index_13,2
index_14,2
index_15,4
index_16,3
index_17,4
index_18,4
index_19,4
index_20,3
index_21,5
index_22,2
index_23,3
index_24,4
index_25,4
index_26,2
index_27,3
index_28,3
index_29,4
index_30,1
index_31,1
index_32,4
index_33,1
index_34,5
index_35,2
index_36,2
index_37,3
index_38,2
index_39,2
index_40,3
index_41,5
index_42,3
index_43,3
index_44,2
index_45,2
index_46,1
index_47,2
index_48,1
index_49,1
index_50,4
index_51,2
index_52,1
index_53,5
index_54,2
index_55,2
index_56,4
index_57,1
index_58,3
index_59,2
index_60,5
index_61,1
index_62,4
index_63,4
index_64,5
index_65,3
index_66,5
index_67,4
index_68,3
index_69,4
index_70,1
index_71,3
index_72,5
index_73,5
index_74,5
index_75,2
index_76,4
index_77,2
index_78,5
index_79,4
index_80,3
index_81,1
index_82,1
index_83,4
index_84,1
index_85,5
index_86,3
index_87,5
index_88,3
index_89,3
index_90,5
index_91,5
index_92,2
index_93,4
index_94,5
index_95,4
index_96,4
index_97,4
index_98,2
index_99,2
index_100,1
index_101,1
index_102,2
index_103,3
index_104,4
index_105,4
index_106,4
index_107,1
index_108,4
index_109,3
index_110,3
index_111,4
index_112,4
index_113,4
index_114,5
index_115,2
index_116,1
index_117,4
index_118,3
index_119,5
index_120,1
index_121,2
index_122,5
index_123,4
index_124,3
index_125,1
index_126,2
index_127,1
index_128,5
index_129,3
index_130,1
index_131,2
index_132,5
index_133,3
index_134,5
index_135,1
index_136,3
index_137,4
index_138,2
index_139,2
index_140,3
index_141,1
index_142,3
index_143,2
index_144,2
index_145,1
index_146,5
index_147,4
index_148,2
index_149,3
index_150,2
index_151,2
index_152,5
index_153,5
index_154,3
index_155,5
index_156,5
index_157,2
index_158,2
index_159,3
index_160,1
index_161,4
index_162,5
index_163,2
index_164,1
index_165,4
index_166,5
index_167,2
index_168,1
index_169,1
index_170,4
index_171,4
index_172,4
index_173,4
index_174,4
index_175,3
index_176,3
index_177,2
index_178,1
index_179,4
index_180,3
index_181,4
index_182,5
index_183,1
index_184,1
index_185,3
index_186,1
index_187,3
index_188,5
index_189,2
index_190,4
index_191,4
index_192,1
index_193,1
index_194,4
index_195,2
index_196,5
index_197,4
index_198,1
index_199,5
index_200,3
index_201,3
index_202,4
index_203,3
index_204,2
index_205,3
index_206,3
index_207,3
index_208,5
index_209,1
index_210,2
index_211,4
index_212,5
index_213,2
index_214,2
index_215,2
index_216,1
index_217,2
index_218,2
index_219,1
index_220,4
index_221,3
index_222,1
index_223,3
index_224,5
index_225,1
index_226,5
index_227,3
index_228,5
index_229,5
index_230,5
index_231,3
index_232,1
index_233,4
index_234,3
index_235,2
index_236,5
index_237,2
index_238,3
index_239,5
index_240,4
index_241,4
index_242,1
index_243,1
index_244,2
index_245,4
index_246,2
index_247,4
index_248,1
index_249,1
index_250,4
index_251,2
index_252,1
index_253,2
index_254,3
index_255,2
index_256,3
index_257,4
index_258,1
index_259,2
index_260,1
index_261,4
index_262,5
index_263,2
index_264,4
index_265,2
index_266,3
index_267,4
index_268,3
index_269,5
index_270,5
index_271,5
index_272,4
index_273,1
index_274,4
index_275,1
index_276,4
index_277,5
index_278,1
index_279,2
index_280,2
index_281,4
index_282,2
index_283,5
index_284,5
index_285,3
index_286,3
index_287,4
index_288,1
index_289,1
index_290,1
index_291,4
index_292,3
index_293,5
index_294,1
index_295,2
index_296,2
index_297,4
index_298,3
index_299,5
index_300,3
index_301,2
index_302,4
index_303,5
index_304,1
index_305,1
index_306,2
index_307,1
index_308,5
index_309,5
index_310,2
index_311,1
index_312,5
index_313,4
index_314,4
index_315,1
index_316,1
index_317,2
index_318,3
index_319,1
index_320,3
index_321,4
index_322,3
index_323,4
index_324,3
index_325,1
index_326,2
index_327,5
index_328,3
index_329,1
index_330,3
index_331,2
index_332,3
index_333,5
index_334,3
index_335,4
index_336,1
index_337,5
index_338,3
index_339,3
index_340,3
index_341,5
index_342,5
index_343,3
index_344,3
index_345,5
index_346,3
index_347,3
index_348,2
index_349,4
index_350,4
index_351,5
index_352,2
index_353,3
index_354,3
index_355,5
index_356,1
index_357,2
index_358,5
index_359,3
index_360,4
index_361,3
index_362,3
index_363,1
index_364,2
index_365,2
